Id,Title,Difficulty,Prerequisite,Similar,Followup
XT5Wckzc26YEf,Bellman_Ford_algorithm_(Single_Source_Shortest_Path),3,,BvHx0cfWvgvxP,FlujlxgaNVnvs
r2vPgjyMxe1ao,Binary_Search,2,,,2YE0VB5KxW3Xd
2YE0VB5KxW3Xd,Binary_Search_with_Index,3,r2vPgjyMxe1ao,,
9Qt6PtP63oPqb,Boyer_Moore_Majority_Voting_algorithm_(Find_Majority_Element_in_Array),2,,,
HxIEOA0A6ZlJn,Breadth_First_Search_in_Graph_(BFS),2,,GHcdXRX8Ab7Hc,nl9l4eYuKU6qh
1J45rjT09Llge,Breadth_First_Search_in_Tree_(Level_Order_Traversal),1,,PuqGZurXTXDIS,
nl9l4eYuKU6qh,Count_Components_in_Graph_(using_BFS),2,HxIEOA0A6ZlJn,,
H4o5htW7ZepX0,Count_Components_in_Graph_(using_DFS),2,GHcdXRX8Ab7Hc,,
GHcdXRX8Ab7Hc,Depth_First_Search_in_Graph_(DFS),2,,HxIEOA0A6ZlJn,H4o5htW7ZepX0
PuqGZurXTXDIS,"Depth_First_Search_in_Tree_(Preorder,_Inorder,_Postorder_Traversal)",1,,1J45rjT09Llge,
XzgeV1OjcZL3q,Dijkstra_algoriithm_(Print_the_Shortest_Path_Between_Source_and_Destination),4,BvHx0cfWvgvxP,,
BvHx0cfWvgvxP,Dijkstra_algoriithm_(Single_Source_Shortest_Path),4,,XT5Wckzc26YEf,XzgeV1OjcZL3q
yX14adIAuQBpL,Disjoint_Set,4,,,
YeuOqjhnDaBcj,Floyd_Warshall_algorithm_(All_Source_Shortest_Path),3,,,
vcS5xLzlYJMZt,Floyd's_Cycle_Finding_algorithm_(Detect_Cycle_in_Linked_List),3,,,y07HxaFDGGaFM
y07HxaFDGGaFM,Floyd's_Cycle_Finding_algorithm_(Find_Start_of_Cycle_in_Linked_List),3,vcS5xLzlYJMZt,,
gBK4SKzJ6BHf8,Kahn's_algorithm_(Topological_Sort_using_BFS),3,,F9Ka6LzzPduCO,
tSH8fstxJZM6y,Kosaraju's_algorithm_for_Strongly_Connected_Components_(SCC),4,,,
6MQEILcaXfD87,Kruskal's_algorithm_(Minimum_Spanning_Tree),4,yX14adIAuQBpL,S8rTWsLPwKfXy,KXlL0Vu6mtFPx
KXlL0Vu6mtFPx,Kruskal's_algorithm_(Print_the_Minimum_Spanning_Tree),4,6MQEILcaXfD87,,
UadhJBcknowZn,"Morris_Traversal_(Inorder,_Preorder,_Postorder)",5,PuqGZurXTXDIS,,
S8rTWsLPwKfXy,Prim's_algorithm_(Minimum_Spanning_Tree),4,,6MQEILcaXfD87,ds5G57wDDHAVM
ds5G57wDDHAVM,Prim's_algorithm_(Print_the_Minimum_Spanning_Tree),4,S8rTWsLPwKfXy,,
nepcWGeZBv8Kd,Sieve_of_Eratosthenes_(Find_Primes_upto_N),2,,,
F9Ka6LzzPduCO,Topological_sort_(using_DFS),3,,gBK4SKzJ6BHf8,
iOlUg8irXBR6M,Transitive_Closure_of_a_graph_(using_Floyd_warshall_algorithm),3,YeuOqjhnDaBcj,,
FlujlxgaNVnvs,Shortest_Path_Faster_algorithm_(Single_Source_Shortest_Path),3,XT5Wckzc26YEf,,
4E245KpZPBvQs,Kadane's_algorithm_(Maximum_Subarray_Sum),1,,,
yzZXFN2DgxYCo,Trie_(Prefix_tree),3,,,
3wQrSikbRena0,Monotone_Chain_algorithm_(for_Convex_Hull),4,,,
L1uSpWvoGEjCT,Generate_All_Subarrays,1,,,
MMlaJyAE6fMWJ,Generate_All_Subsets_using_Backtracking,2,,,
