S.No.,Title,Type,Language(s),accepted,partially-accepted
1,two sum,general,cpp,3,0
2,add two numbers,general,cpp,2,0
3,longest substring without repeating characters,general,cpp,2,0
4,median of two sorted arrays,general,cpp,2,0
5,longest palindromic substring,general,cpp,1,1
7,reverse integer,general,cpp,1,0
8,string to integer (atoi),general,cpp,1,0
9,palindrome number,general,cpp,1,0
11,container with most water,general,cpp,1,1
12,integer to roman,general,cpp,2,0
13,roman to integer,general,cpp,1,0
14,longest common prefix,general,cpp,1,0
15,3 sum,general,cpp,1,2
16,3 sum closest,general,cpp,2,0
17,letter combinations of a phone number,general,cpp,1,0
18,4 sum,general,cpp,1,0
19,remove nth node from end of list,general,cpp,2,0
20,valid parentheses,general,cpp,2,0
21,merge two sorted lists,general,cpp,3,0
22,generate parenthesis,general,cpp,4,0
23,merge k sorted lists,general,cpp,2,0
24,swap nodes in pairs,general,cpp,2,0
25,reverse nodes in K group,general,cpp,2,0
26,remove duplicates from sorted array,general,cpp,1,0
27,remove element,general,cpp,1,0
28,find the index of the first occurence in a string,general,cpp,2,0
29,divide two integers,general,cpp,1,2
31,next permutation,general,cpp,2,0
33,search in rotated sorted array,general,cpp,1,0
34,find first and last position of element in sorted array,general,cpp,1,0
35,search insert position,general,cpp,1,0
36,valid sudoku,general,cpp,3,0
37,sudoku solver,general,cpp,1,0
39,combination sum,general,cpp,1,0
40,combination sum II,general,cpp,1,1
41,first missing positive,general,cpp,2,0
42,trapping rain water,general,cpp,3,0
45,jump game II,general,cpp,2,0
46,permutations,general,cpp,2,0
47,permutations II,general,cpp,1,0
48,rotate image,general,cpp,3,0
49,group anagrams,general,cpp,2,0
50,pow(x* n),general,cpp,1,1
51,n queens,general,cpp,2,0
52,n queens II,general,cpp,1,0
53,maximum subarray,general,cpp,2,1
54,spiral matrix,general,cpp,2,0
55,jump game,general,cpp,2,1
56,merge intervals,general,cpp,2,0
57,insert interval,general,cpp,1,0
58,length of last word,general,cpp,1,0
59,spiral matrix II,general,cpp,1,0
60,permutation sequence,general,cpp,2,0
61,rotate list,general,cpp,1,0
62,unique paths,general,cpp,4,1
63,unique paths II,general,cpp,2,0
64,minimum path sum,general,cpp,3,1
66,plus one,general,cpp,1,0
67,add binary,general,cpp,1,0
69,sqrt(x),general,cpp,2,0
70,climbing stairs,general,cpp,2,0
72,edit distance,general,cpp,3,1
73,set matrix zeros,general,cpp,1,0
74,search a 2d matrix,general,cpp,3,0
75,sort colors,general,cpp,3,0
76,minimum window substring,general,cpp,1,1
77,combinations,general,cpp,1,0
78,subsets,general,cpp,2,0
79,word search,general,cpp,1,0
80,remove duplicates from sorted array II,general,cpp,2,0
81,search in rotated sorted array II,general,cpp,1,0
82,remove duplicates from sorted list II,general,cpp,2,0
83,remove duplicates from sorted list,general,cpp,1,0
84,largest rectangle in histogram,general,cpp,3,1
85,maximal rectangle,general,cpp,1,2
86,partition list,general,cpp,3,0
88,merge sorted array,general,cpp,1,0
90,subsets II,general,cpp,2,0
91,decode ways,general,cpp,1,0
92,reverse linked list II,general,cpp,1,0
94,binary tree inorder traversal,general,cpp,2,0
96,unique binary search trees,general,cpp,1,0
97,interleaving strings,general,cpp,3,1
98,validate binary search tree,general,cpp,3,0
99,recover binary search tree,general,cpp,3,0
100,same tree,general,cpp,2,0
101,symmetric tree,general,cpp,2,0
102,binary tree level order traversal,general,cpp,1,0
103,binary tree zigzag level order traversal,general,cpp,1,0
