quesId,Title,Language(s),AcceptedCount,UnacceptedCount
1,two sum,cpp,3,0
2,add two numbers,cpp,2,0
3,longest substring without repeating characters,cpp,2,0
4,median of two sorted arrays,cpp,2,0
5,longest palindromic substring,cpp,1,1
7,reverse integer,cpp,1,0
8,string to integer (atoi),cpp,1,0
9,palindrome number,cpp,1,0
11,container with most water,cpp,1,1
12,integer to roman,cpp,2,0
13,roman to integer,cpp,1,0
14,longest common prefix,cpp,1,0
15,3 sum,cpp,1,2
16,3 sum closest,cpp,2,0
17,letter combinations of a phone number,cpp,1,0
18,4 sum,cpp,1,0
19,remove nth node from end of list,cpp,2,0
20,valid parentheses,cpp,2,0
21,merge two sorted lists,cpp,3,0
22,generate parenthesis,cpp,4,0
23,merge k sorted lists,cpp,2,0
24,swap nodes in pairs,cpp,2,0
25,reverse nodes in K group,cpp,2,0
26,remove duplicates from sorted array,cpp,1,0
27,remove element,cpp,1,0
28,find the index of the first occurence in a string,cpp,2,0
29,divide two integers,cpp,1,2
31,next permutation,cpp,2,0
33,search in rotated sorted array,cpp,1,0
34,find first and last position of element in sorted array,cpp,1,0
35,search insert position,cpp,1,0
36,valid sudoku,cpp,3,0
37,sudoku solver,cpp,1,0
39,combination sum,cpp,1,0
40,combination sum II,cpp,1,1
41,first missing positive,cpp,2,0
42,trapping rain water,cpp,3,0
45,jump game II,cpp,2,0
46,permutations,cpp,2,0
47,permutations II,cpp,1,0
48,rotate image,cpp,3,0
49,group anagrams,cpp,2,0
50,pow(x* n),cpp,1,1
51,n queens,cpp,2,0
52,n queens II,cpp,1,0
53,maximum subarray,cpp,2,1
54,spiral matrix,cpp,2,0
55,jump game,cpp,2,1
56,merge intervals,cpp,2,0
57,insert interval,cpp,1,0
58,length of last word,cpp,1,0
59,spiral matrix II,cpp,1,0
60,permutation sequence,cpp,2,0
61,rotate list,cpp,1,0
62,unique paths,cpp,4,1
63,unique paths II,cpp,2,0
64,minimum path sum,cpp,3,1
66,plus one,cpp,1,0
67,add binary,cpp,1,0
69,sqrt(x),cpp,2,0
70,climbing stairs,cpp,2,0
72,edit distance,cpp,3,1
73,set matrix zeros,cpp,1,0
74,search a 2d matrix,cpp,3,0
75,sort colors,cpp,3,0
76,minimum window substring,cpp,1,1
77,combinations,cpp,1,0
78,subsets,cpp,2,0
79,word search,cpp,1,0
80,remove duplicates from sorted array II,cpp,2,0
81,search in rotated sorted array II,cpp,1,0
82,remove duplicates from sorted list II,cpp,2,0
83,remove duplicates from sorted list,cpp,1,0
84,largest rectangle in histogram,cpp,3,1
85,maximal rectangle,cpp,1,2
86,partition list,cpp,3,0
88,merge sorted array,cpp,1,0
90,subsets II,cpp,2,0
91,decode ways,cpp,1,0
92,reverse linked list II,cpp,1,0
94,binary tree inorder traversal,cpp,2,0
96,unique binary search trees,cpp,1,0
97,interleaving strings,cpp,3,1
98,validate binary search tree,cpp,3,0
99,recover binary search tree,cpp,3,0
100,same tree,cpp,2,0
101,symmetric tree,cpp,2,0
102,binary tree level order traversal,cpp,1,0
103,binary tree zigzag level order traversal,cpp,1,0
104,maximum depth of binary tree,cpp,2,0
105,construct binary tree from preorder and inorder traversal,cpp,3,0
106,construct binary tree from inorder and postorder traversal,cpp,1,0
107,binary tree level order traversal II,cpp,1,0
108,convert sorted array to BST,cpp,1,0
109,convert sorted list to binary search tree,cpp,1,0
110,balanced binary tree,cpp,3,0
111,minimum depth of binary tree,cpp,3,0
112,path sum,cpp,1,0
113,path sum II,cpp,1,0
114,flatten binary tree to linked list,cpp,2,0
115,distinct subsequences,cpp,2,1
116,populating next right pointers in each node,cpp,1,0
117,populating next right pointers in each node II,cpp,1,0
118,pascal's triangle,cpp,1,0
119,pascal's triangle II,cpp,2,0
120,triangle,cpp,3,1
121,best time to buy and sell stock,cpp,2,1
122,best time to buy and sell stock II,cpp,1,0
123,best time to buy and sell stock III,cpp,1,0
124,binary tree maximum path sum,cpp,1,0
125,valid palindrome,cpp,1,0
127,word ladder,cpp,1,0
128,longest consecutive sequence,cpp,2,1
129,sum root to leaf numbers,cpp,1,0
130,surrounded regions,cpp,1,0
131,palindrome partitioning,cpp,2,0
133,clone graph,cpp,1,0
134,gas station,cpp,1,1
135,candy,cpp,1,0
136,single number,cpp,3,0
137,single number II,cpp,3,0
139,word break,cpp,1,1
140,word break II,cpp,1,0
141,linked list cycle,cpp,1,0
142,linked list cycle II,cpp,1,0
143,reorder list,cpp,2,0
144,binary tree preorder traversal,cpp,2,0
145,binary tree postorder traversal,cpp,2,0
146,LRU cache,cpp,2,0
148,sort list,cpp,1,0
149,max points on a line,cpp,2,0
150,evaluate reverse polish notation,cpp,1,0
151,reverse words in a string,cpp,2,0
152,maximum product subarray,cpp,1,1
153,find minimum in rotated sorted array,cpp,3,0
154,find minimum in rotated sorted array II,cpp,1,0
155,min stack,cpp,1,0
160,intersection of two linked lists,cpp,5,0
162,find peak element,cpp,4,0
164,maximum gap,cpp,1,0
165,compare version numbers,cpp,1,0
167,two sum II input array is sorted,cpp,1,0
168,excel sheet column title,cpp,1,0
169,majority element,cpp,5,0
171,excel sheet column number,cpp,1,0
172,factorial trailing zeros,cpp,1,0
173,binary search tree iterator,cpp,1,0
174,dungeon game,cpp,2,1
175,combine two tables,sql,1,0
176,second highest salary,sql,3,0
177,nth highest salary,sql,1,0
178,rank scores,sql,2,0
179,largest number,cpp,1,0
180,consecutive numbers,sql,2,0
181,employees earning more than their managers,sql,1,0
182,duplicate emails,sql,1,0
183,customers who never order,sql,2,0
184,department highest salary,sql,2,0
187,repeated dna sequences,cpp,1,0
188,best time to buy and sell stock IV,cpp,1,1
189,rotate array,cpp,3,0
190,reverse bits,cpp,2,0
191,number of 1 bits,cpp,2,0
196,delete duplicate emails,sql,2,0
197,rising temperature,sql,1,0
198,house robber,cpp,2,0
199,binary tree right side view,cpp,2,0
200,number of islands,cpp,2,0
201,bitwise and of numbers range,cpp,1,0
202,happy number,cpp,1,0
203,remove linked list elements,cpp,1,0
204,count primes,cpp,3,0
205,isomorphic strings,cpp,1,0
206,reverse linked list,cpp,4,0
207,course schedule,cpp,2,0
208,implement trie (prefix tree),cpp,4,0
209,minimum size subarray sum,cpp,1,1
210,course schedule II,cpp,2,0
211,design add and search words data structure,cpp,2,3
212,word search II,cpp,0,2
213,house robber II,cpp,1,0
214,shortest palindrome,cpp,1,2
215,kth largest element in an array,cpp,3,0
216,combination sum III,cpp,1,0
217,contains duplicate,cpp,2,0
219,contains duplicate II,cpp,1,1
220,contains duplicate III,cpp,0,1
221,maximal square,cpp,3,1
222,count complete tree nodes,cpp,3,0
225,implement stack using queues,cpp,2,0
226,invert binary tree,cpp,2,0
228,summary ranges,cpp,1,0
229,majority element II,cpp,2,0
230,kth smallest element in a BST,cpp,4,0
231,power of two,cpp,4,0
232,implement queue using stacks,cpp,5,0
233,number of digit one,cpp,0,1
234,palindrome linked list,cpp,3,0
235,lowest common ancestor of a binary search tree,cpp,2,0
236,lowest common ancestor of a binary tree,cpp,2,0
237,delete node in a linked list,cpp,1,0
238,product of array except self,cpp,2,0
239,sliding window maximum,cpp,2,1
240,search a 2d matrix II,cpp,1,0
241,different ways to add parentheses,cpp,2,0
242,valid anagram,cpp,3,0
257,binary tree paths,cpp,2,0
258,add digits,cpp+js,2+2,0+0
260,single number III,cpp,4,0
263,ugly number,cpp,1,0
264,ugly number II,cpp,2,1
268,missing number,cpp,4,0
273,integer to english words,cpp,1,0
274,H index,cpp,2,0
275,H index II,cpp,2,0
278,first bad version,cpp,1,0
279,perfect squares,cpp,1,0
283,move zeros,cpp,3,0
287,find the duplicate number,cpp,4,0
289,game of life,cpp,1,0
290,word pattern,cpp,1,0
292,nim game,cpp,1,0
295,find median from data stream,cpp,2,2
297,serialize and deserialize binary tree,cpp,2,0
300,longest increasing subsequence,cpp,2,1
303,range sum query immutable,cpp,2,0
304,range sum query 2D immutable,cpp,4,1
307,range sum query mutable,cpp,3,1
309,best time to buy and sell stock with cooldown,cpp,3,1
310,minimum height trees,cpp,1,1
313,super ugly number,cpp,0,1
315,count of smaller numbers after self,cpp,0,2
316,remove duplicate letters,cpp,1,0
319,bulb switcher,cpp,1,0
322,coin change,cpp,3,2
326,power of three,cpp,1,0
327,count of range sum,cpp,0,1
328,odd even linked list,cpp,3,0
329,longest increasing path in a matrix,cpp,1,1
330,patching array,cpp,1,0
331,verify preorder serialization of a binary tree,cpp,3,0
332,reconstruct itinerary,cpp,1,1
334,increasing triplet subsequence,cpp,3,2
336,palindrome pairs,cpp,0,2
337,house robber III,cpp,1,0
338,counting bits,cpp,1,0
342,power of four,cpp,2,0
343,integer break,cpp,2,0
344,reverse string,cpp,1,0
345,reverse vowels of a string,cpp,1,0
347,top k frequency elements,cpp,2,0
349,intersection of two arrays,cpp,5,0
350,intersection of two arrays II,cpp,3,0
352,data stream as disjoint intervals,cpp,1,0
355,design twitter,cpp,3,0
357,count numbers with unique digits,cpp,0,1
365,water and jug problem,cpp,2,1
367,valid perfect square,cpp,2,0
368,largest divisible subset,cpp,0,1
373,find k pairs with smallest sums,cpp,1,1
374,guess number higher or lower,cpp,1,1
377,combination sum IV,cpp,2,1
378,Kth smallest element in a sorted matrix,cpp,3,0
380,insert delete getrandom O(1),cpp,2,0
381,insert delete getrandom O(1) duplicates allowed,cpp,1,0
382,linked list random node,cpp,1,0
383,ransom note,cpp,1,0
386,lexicographical numbers,cpp,4,0
387,first unique character in a string,cpp,1,0
389,find the difference,cpp,1,0
392,is subsequence,cpp,1,0
394,decode string,cpp,2,0
395,longest substring with at least k repeating characters,cpp,2,0
396,rotate function,cpp,1,1
397,integer replacement,cpp,2,0
398,random pick index,cpp,1,0
399,evaluate division,cpp,2,0
402,remove k digits,cpp,1,0
403,frog jump,cpp,2,1
404,sum of left leaves,cpp,1,0
405,convert a number to hexadecimal,cpp,2,0
406,queue reconstruction by height,cpp,1,0
409,longest palindrome,cpp,1,0
412,fizz buzz,cpp,2,0
413,arithmetic slices,cpp,1,0
414,third maximum number,cpp,1,0
415,add strings,cpp,1,0
416,partition equal subset sum,cpp,1,0
417,pacific atlantic water flow,cpp,1,0
419,battleships in a board,cpp,1,0
421,maximum XOR of two numbers in an array,cpp,0,1
423,reconstruct original digits from english,cpp,1,0
424,longest repeating character replacement,cpp,2,0
429,N ary tree level order traversal,cpp,1,0
432,all O'one data structure,cpp,2,0
434,number of segments in a string,cpp,2,0
435,non overlapping intervals,cpp,1,0
436,find right interval,cpp,3,0
437,path sum III,cpp,2,0
438,find all anagrams in a string,cpp,2,0
440,Kth smallest in lexicographical order,cpp,0,4
441,arranging coins,cpp,2,0
442,find all duplicates in an array,cpp,3,0
445,add two numbers II,cpp,3,0
447,number of boomerangs,cpp,1,0
448,find all numbers disappeared in an array,cpp,2,0
449,serialize and deserialize BST,cpp,2,0
450,delete node in a BST,cpp,1,0
451,sort characters by frequency,cpp,1,0
452,minimum number of arrows to burst balloons,cpp,1,0
454,4sum II,cpp,1,2
455,assign cookies,cpp,1,0
456,132 pattern,cpp,0,2
457,circular array loop,cpp,1,0
459,repeated substring pattern,cpp,2,0
460,LFU cache,cpp,1,0
461,hamming distance,cpp,3,0
462,minimum moves to equal array elements II,cpp,2,0
463,island perimeter,cpp,1,0
468,validate IP address,cpp,1,0
472,concatenated words,cpp,1,2
473,matchsticks to square,cpp,1,0
474,ones and zeros,cpp,1,1
476,number complement,cpp,3,0
477,total hamming distance,cpp,1,1
478,generate random point in a circle,cpp,1,0
480,sliding window median,cpp,0,1
482,license key formatting,cpp,2,0
485,max consecutive ones,cpp,1,0
491,non decreasing subsequences,cpp,2,0
492,construct the rectangle,cpp,2,0
493,reverse pairs,cpp,0,1
494,target sum,cpp,2,0
496,next greater element I,cpp,2,0
497,random point in non overlapping rectangles,cpp,0,1
498,diagonal traverse,cpp,3,0
500,keyboard row,cpp,2,0
501,find mode in binary search tree,cpp,1,0
502,IPO,cpp,1,1
503,next greater element II,cpp,5,0
504,base 7,cpp,1,0
506,relative ranks,cpp,3,0
507,perfect number,cpp,1,0
508,most frequent subtree sum,cpp,1,0
509,fibonacci number,cpp,2,0
511,game play analysis I,sql,1,0
513,bottom left tree value,cpp,2,0
514,freedom trail,cpp,1,1
515,find largest value in each tree row,cpp,1,0
516,longest palindromic subsequence,cpp,1,0
518,coin change II,cpp,2,2
519,random flip matrix,cpp,0,1
520,detect capital,cpp,1,0
523,continous subarray sum,cpp,1,1
524,longest word in dictionary through deleting,cpp,1,0
525,contiguous array,cpp,1,1
530,minimum absolute difference in BST,cpp,4,0
532,k diff pairs in an array,cpp,2,0
537,complex number multiplication,cpp,1,0
538,convert BST to greater tree,cpp,1,0
539,minimum time difference,cpp+js,2+2,0+0
540,single element in sorted array,cpp,4,0
541,reverse string II,cpp,2,0
542,01 matrix,cpp,1,1
543,diameter of binary tree,cpp,1,0
547,number of provinces,cpp,2,0
550,game play analysis IV,sql,1,0
551,student attendance record I,cpp,2,0
552,student attendance record II,cpp,1,0
556,next greater element III,cpp,2,0
557,reverse words in a string III,cpp,3,0
559,maximum depth of N ary tree,cpp,2,0
560,subarray sum equals k,cpp,2,0
561,array partition,cpp,1,0
563,binary tree tilt,cpp,2,0
566,reshape the matrix,cpp,2,0
