JS_TS,DB
2618,175
2619,176
2620,177
2621,178
2622,180
2623,181
2624,182
2625,183
2626,184
2627,196
2629,197
2630,511
2631,550
2634,570
2635,577
2637,584
2648,586
2649,595
2650,596
2665,602
2666,607
2667,608
2677,610
2693,619
2694,620
2695,626
2703,627
2704,1045
2705,1050
2715,1068
2721,1070
2722,1075
2723,1084
2724,1141
2725,1148
2726,1158
2727,1164
,1173
,1174
,1179
,1193
,1211
,1251
,1280
,1327
,1341
,1378
,1393
,1407
,1484
,1517
,1527
,1581
,1587
,1633
,1661
,1667
,1683
,1693
,1729
,1731
,1741
,1757
,1789
,1795
,1873
,1890
,1907
,1934
,1965
,1978
,2082
,2356
,3220
,3436
,3465
,3475
,3497
,3570
,3580
,3601
,3642
,3657
,3716
,3793
